Start Node Label,Start Node Attribute Name,Start Node Attribute Value,Graph Element,Attribute Name,Attribute Value,Relation Name,Relation Attribute Name,Relation Attribute Value,End Node Label,End Node Attribute Name,End Node Attribute Value,Record Tag
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,necrosis in interdental papilla,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,fever,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,poor oral hygiene,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PersonalAndSocialHistory,name,alcohol abuse,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PersonalAndSocialHistory,name,living in substandard accommodations,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,ulceration of the tips of the gum tissue between the teeth,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PersonalAndSocialHistory,name,limited access to potable water,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,debilitated patients who are under stress,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,nutritional deficiencies,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,immunodeficiency,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,oral candidiasis,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,human immunodeficiency virus infection,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,measles,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,herpes virus infection,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,chicken pox,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,malaria,acute necrotizing ulcerative gingivitis
